n_worlds,synthetic_fraction,activity_multiplier,mean_D,ci95_low,ci95_high,ci95_half_width,absolute_difference_from_final_mean
500,0.1,7.5,-0.006407360668150751,-0.009795436524736256,-0.0030192848115652452,0.0033880758565855056,0.0004736167141450483
500,0.1,10.0,-0.015187868379636853,-0.018725681526193964,-0.011650055233079742,0.0035378131465571114,4.684554701788607e-05
500,0.1,15.0,-0.029254136569149804,-0.032291547180310916,-0.02621672595798869,0.003037410611161114,0.0007951167169426149
500,0.15,1.0,-0.0003912969503390791,-0.002710668999504829,0.001928075098826671,0.00231937204916575,0.0006886013121784865
500,0.15,2.0,0.002591285873315137,-0.0004285511259508406,0.005611122872581115,0.0030198369992659774,0.0005048067929829731
500,0.15,3.0,0.0020863329831127967,-0.001256873829620715,0.005429539795846308,0.0033432068127335116,0.0013521237784767303
500,0.15,5.0,-0.0011125058759601754,-0.004653895770544472,0.0024288840186241214,0.0035413898945842967,0.00111446207815259
500,0.15,7.5,-0.006048749128515923,-0.009431556756578256,-0.002665941500453589,0.0033828076280623337,0.0011010955072297598
500,0.15,10.0,-0.01437468489675825,-0.017556993899015678,-0.011192375894500823,0.003182309002257427,9.61291939575587e-05
500,0.15,15.0,-0.02751034878304267,-0.030150206359623934,-0.024870491206461405,0.0026398575765812656,0.0022658683321875386
500,0.2,1.0,-0.000688897854625062,-0.003215004827236123,0.0018372091179859988,0.002526106972611061,0.000776975524698089
500,0.2,2.0,0.004359083002853597,0.0013003415554470941,0.0074178244502601,0.003058741447406503,0.0011185216079455818
500,0.2,3.0,0.005011238818030275,0.0015486404827437911,0.008473837153316758,0.003462598335286484,0.0013058542710357554
500,0.2,5.0,-2.672213181210559e-05,-0.0033877013270963365,0.003334257063472125,0.0033609791952842307,0.00022601707191493903
500,0.2,7.5,-0.009472778715737842,-0.012610624516360032,-0.006334932915115651,0.0031378458006221907,0.002522084199739696
500,0.2,10.0,-0.013975178368470356,-0.01681143069635252,-0.011138926040588191,0.0028362523278821646,0.0009610596493190918
500,0.2,15.0,-0.02235987441635471,-0.024805202418313837,-0.019914546414395582,0.0024453280019591287,0.0017105728625999017
500,0.25,1.0,-0.0006107907312799688,-0.0032799904540097326,0.002058408991449795,0.0026691997227297638,0.0004016499316036124
500,0.25,2.0,0.003880444882569283,0.0006147376512911609,0.007146152113847405,0.003265707231278122,0.00032676522131656676
500,0.25,3.0,0.0033979045940454706,4.370050471634319e-05,0.006752108683374598,0.0033542040893291274,0.0002168854633696777
500,0.25,5.0,0.002143530289368144,-0.001031913970444756,0.005318974549181043,0.0031754442598129,0.002765081858406764
500,0.25,7.5,-0.005647490699368507,-0.008736818099009946,-0.0025581632997270683,0.003089327399641439,0.0008239639807985253
500,0.25,10.0,-0.01224136844153604,-0.014951414978371163,-0.009531321904700915,0.002710046536835124,0.0015887328300100527
500,0.25,15.0,-0.015962268215019098,-0.018164436752020716,-0.01376009967801748,0.002202168537001618,0.00045230835313784384
1000,0.01,1.0,-9.402492237489289e-05,-0.000548271400329707,0.0003602215555799213,0.0004542464779548142,9.822174864596711e-05
1000,0.01,2.0,0.00043337863911053175,-0.00017274770952280477,0.0010395049877438682,0.0006061263486333365,3.561622806057388e-05
1000,0.01,3.0,7.66323370995603e-06,-0.000771201658536805,0.0007865281259567169,0.000778864892246761,0.00038694081788608574
1000,0.01,5.0,-4.433073948065691e-05,-0.0010930511149797111,0.0010043896360183975,0.0010487203754990543,8.784940469615307e-06
1000,0.01,7.5,-0.0017154173706210986,-0.003022605749692592,-0.0004082289915496053,0.0013071883790714933,2.6346716070327174e-05
1000,0.01,10.0,-0.005276117844756468,-0.006678414377164012,-0.003873821312348924,0.0014022965324075442,0.0005375536905778766
1000,0.01,15.0,-0.013968632159282571,-0.015749073063936372,-0.01218819125462877,0.0017804409046538014,0.00025220502898593705
1000,0.05,1.0,-8.955252507311931e-05,-0.0010824453461403696,0.0009033402959941311,0.0009928928210672504,0.00016706994471156873
1000,0.05,2.0,0.001626421677867413,0.00025038855618578107,0.003002454799549045,0.001376033121681632,0.00035564722561810336
1000,0.05,3.0,0.0011562606210767019,-0.00046207788431093977,0.0027745991264643433,0.0016183385053876417,0.000643247728549036
1000,0.05,5.0,0.0015703655169291592,-0.00047841649739860663,0.0036191475312569252,0.002048782014327766,0.000918360128671217
1000,0.05,7.5,-0.006581269687008634,-0.008915431980101578,-0.00424710739391569,0.002334162293092944,0.0014322072474569347
1000,0.05,10.0,-0.012394874169996661,-0.014774768336051201,-0.01001498000394212,0.0023798941660545412,0.0006400366212021055
1000,0.05,15.0,-0.03110164835608016,-0.03353331606812519,-0.028669980644035135,0.0024316677120450256,0.00017507346593627696
1000,0.1,1.0,-0.0005455622172106572,-0.0019359121110233283,0.000844787676602014,0.0013903498938126712,0.0006864369449892949
1000,0.1,2.0,0.0014948323343970506,-0.00022496110067637357,0.003214625769470475,0.0017197934350734242,0.0003254819607894058
1000,0.1,3.0,0.0010716073923688924,-0.0009876566676399283,0.003130871452377713,0.0020592640600088207,0.0008692038898637608
1000,0.1,5.0,0.0015560254112953458,-0.0008221632180460824,0.003934214040636774,0.002378188629341428,0.001253915357339192
1000,0.1,7.5,-0.005759432715143649,-0.008231689641263532,-0.0032871757890237667,0.0024722569261198825,0.0011215446671521499
1000,0.1,10.0,-0.015776841440478778,-0.018213577607480862,-0.013340105273476696,0.002436736167002083,0.0006358186078598109
1000,0.1,15.0,-0.03071169110718703,-0.032877505727406574,-0.02854587648696748,0.0021658146202195466,0.0006624378210946108
1000,0.15,1.0,0.0001700653227806426,-0.0014799643394335542,0.0018200949849948393,0.0016500296622141968,0.0001272390390587647
1000,0.15,2.0,0.002812688001553207,0.000735097997465082,0.0048902780056413325,0.002077590004088125,0.0002834046647449029
1000,0.15,3.0,0.0030102975121837927,0.0006304336621408232,0.005390161362226762,0.0023798638500429695,0.00042815924940573435
1000,0.15,5.0,-0.00023475714465157277,-0.0027785381428889642,0.0023090238535858187,0.0025437809982373914,0.00023671334684398717
1000,0.15,7.5,-0.006631503790413965,-0.00912054079411672,-0.004142466786711209,0.002489037003702755,0.0005183408453317178
1000,0.15,10.0,-0.012955331961945225,-0.015120044361672308,-0.010790619562218143,0.0021647123997270827,0.0013232237408554656
1000,0.15,15.0,-0.026547934316262182,-0.028439212604252164,-0.0246566560282722,0.0018912782879899825,0.0013034538654070511
1000,0.2,1.0,-3.529753499241711e-05,-0.001868473468384132,0.001797878398399298,0.001833175933391715,0.00012337520506544415
1000,0.2,2.0,0.005111308714844811,0.002912986389054739,0.007309631040634883,0.002198322325790072,0.0018707473199367957
1000,0.2,3.0,0.005910922431346208,0.0035282165034994407,0.008293628359192975,0.002382705927846767,0.0022055378843516883
1000,0.2,5.0,-0.00045133963078823895,-0.002930302094064973,0.0020276228324884954,0.002478962463276734,0.00019860042706119435
1000,0.2,7.5,-0.008993489382024404,-0.011235913562104466,-0.006751065201944342,0.0022424241800800613,0.002042794866026258
1000,0.2,10.0,-0.013348866283590662,-0.01539012648210294,-0.011307606085078385,0.002041260198512277,0.0003347475644393978
1000,0.2,15.0,-0.021141158575071137,-0.02286620237523699,-0.019416114774905284,0.0017250438001658523,0.000491857021316329
1000,0.25,1.0,-1.9876957863037613e-05,-0.0019414514482506916,0.0019016975325246164,0.001921574490387654,0.00018926384181331882
1000,0.25,2.0,0.0034057893320815482,0.0010955038143495247,0.005716074849813572,0.0023102855177320235,0.0001478903291711681
1000,0.25,3.0,0.003726335357150198,0.0012835292760653635,0.006169141438235033,0.0024428060810848347,0.0005453162264744053
1000,0.25,5.0,0.000815238735092492,-0.0014953576992250504,0.003125835169410034,0.0023105964343175423,0.001436790304131112
1000,0.25,7.5,-0.005096161232708054,-0.007253495422074185,-0.002938827043341923,0.002157334189366131,0.0013752934474589784
1000,0.25,10.0,-0.011373136079732839,-0.013223590085437149,-0.00952268207402853,0.00185045400570431,0.0007205004682068524
1000,0.25,15.0,-0.01655128903766405,-0.018093844022404694,-0.015008734052923405,0.0015425549847406454,0.00013671246950710744
2000,0.01,1.0,-0.00013410351985691373,-0.0004505870950160903,0.0001823800553022628,0.0003164835751591765,0.00013830034612798795
2000,0.01,2.0,0.0005623408269258952,0.00011848767441955234,0.001006193979432238,0.00044385315250634286,0.00016457841587593733
2000,0.01,3.0,0.00012045494706541899,-0.0004348266927113075,0.0006757365868421455,0.0005552816397767265,0.00027414910453062277
2000,0.01,5.0,-0.00011578214222134228,-0.0008543747650645126,0.000622810480621828,0.0007385926228431703,8.023634321030068e-05
2000,0.01,7.5,-0.0016638441897886703,-0.0025665995645504417,-0.000761088815026899,0.0009027553747617713,2.5226464762101138e-05
2000,0.01,10.0,-0.004920769801857883,-0.005908668128456998,-0.003932871475258768,0.0009878983265991152,0.00018220564767929166
2000,0.01,15.0,-0.01361101611223078,-0.014864663457629445,-0.012357368766832116,0.0012536473453986646,0.00010541101806585407
2000,0.05,1.0,0.0001346868267898829,-0.0005769333628220862,0.0008463070164018521,0.0007116201896119692,5.716940715143348e-05
2000,0.05,2.0,0.0013094566016085029,0.0003666935748928901,0.0022522196283241156,0.0009427630267156128,3.868214935919315e-05
2000,0.05,3.0,0.0010777287408230394,-7.120879901046252e-05,0.0022266662806565414,0.001148937539833502,0.0007217796088026984
2000,0.05,5.0,0.00019496859383714694,-0.0012627343592901108,0.0016526715469644048,0.0014577029531272578,0.0004570367944207952
2000,0.05,7.5,-0.0065473208196068725,-0.008199704561681242,-0.004894937077532503,0.0016523837420743689,0.0013982583800551734
2000,0.05,10.0,-0.01222293975421762,-0.013888530563914831,-0.010557348944520407,0.001665590809697211,0.0008119710369811472
2000,0.05,15.0,-0.031315270892791174,-0.03305557206494418,-0.02957496972063817,0.0017403011721530035,0.0003886960026472895
2000,0.1,1.0,0.00015706317612968905,-0.0008252851402587959,0.001139411492518174,0.000982348316388485,1.618844835105134e-05
2000,0.1,2.0,0.0009945448976094323,-0.000224471106697261,0.002213560901916126,0.0012190160043066933,0.0008257693975770241
2000,0.1,3.0,0.0015480499090447623,8.817254898517749e-05,0.003007927269104347,0.0014598773600595848,0.0003927613731878909
2000,0.1,5.0,0.0008262593547656259,-0.000854394891980622,0.0025069136015118737,0.001680654246746248,0.0005241493008094722
2000,0.1,7.5,-0.006167142899191856,-0.007917055704040587,-0.004417230094343125,0.0017499128048487317,0.0007138344831039431
2000,0.1,10.0,-0.015258269914779023,-0.016953373269297384,-0.01356316656026066,0.001695103354518362,0.00011724708216005568
2000,0.1,15.0,-0.029859530554455577,-0.031451234683311007,-0.028267826425600148,0.0015917041288554278,0.0001897227316368412
2000,0.15,1.0,0.0009766690736120768,-0.00018633197562485855,0.002139670122849012,0.0011630010492369354,0.0006793647117726695
2000,0.15,2.0,0.0024255871140610535,0.0009950497430931736,0.0038561244850289335,0.0014305373709678799,0.0006705055522370565
2000,0.15,3.0,0.004118110359658199,0.002449193459603201,0.005787027259713197,0.0016689169000549983,0.0006796535980686724
2000,0.15,5.0,-0.000637855462741517,-0.0024133635676308984,0.0011376526421478647,0.0017755081048893815,0.0006398116649339314
2000,0.15,7.5,-0.005730804217608456,-0.00744419474608298,-0.004017413689133933,0.0017133905284745228,0.0014190404181372261
2000,0.15,10.0,-0.013585766110583942,-0.015158431540594545,-0.01201310068057334,0.001572665430010602,0.0006927895922167488
2000,0.15,15.0,-0.025133536841234295,-0.026492817279531237,-0.023774256402937354,0.0013592804382969417,0.00011094360962083522
2000,0.2,1.0,0.0008930428799521402,-0.0004003164429783666,0.002186402202882647,0.0012933593229305068,0.0008049652098791132
2000,0.2,2.0,0.005316007472139267,0.0037622519318340365,0.006869763012444498,0.0015537555403052307,0.0020754460772312517
2000,0.2,3.0,0.005196674292243774,0.0035077904675669385,0.00688555811692061,0.001688883824676836,0.001491289745249255
2000,0.2,5.0,0.0004197809179153665,-0.001328994478869938,0.002168556314700671,0.0017487753967853046,0.0006725201216424111
2000,0.2,7.5,-0.007660561040804442,-0.009237268325707058,-0.006083853755901826,0.0015767072849026166,0.0007098665248062965
2000,0.2,10.0,-0.012578518158014845,-0.014013048597164705,-0.011143987718864984,0.0014345304391498598,0.00043560056113641984
