synthetic_fraction,metric,baseline_activity,treatment_activity,n_worlds,mean_difference,std_difference,median_difference,ci95_low,ci95_high,t_statistic,p_raw,cohens_dz,fraction_difference_gt_0,p_holm,reject_holm_0_05
0.01,gini_gap,1.0,2.0,10000,0.0160996146034991,0.08033476599107049,0.015453505146124757,0.014524891505414875,0.017674337701583324,20.040656625910422,1.2620853747636792e-87,0.2004065662591042,0.5753,4.669715886625613e-86,True
0.01,gini_gap,2.0,3.0,10000,0.006127769333281423,0.06763108397710674,0.005984551229717527,0.004802063970561356,0.007453474696001491,9.060581278507506,1.5405612432244767e-19,0.09060581278507507,0.5316,2.9270663621265058e-18,True
0.01,gini_gap,3.0,5.0,10000,0.005796817663868488,0.05803368478318978,0.005951507610213236,0.004659240641422367,0.006934394686314609,9.988712048054568,2.197760207160653e-23,0.09988712048054568,0.5422,4.395520414321306e-22,True
0.01,gini_gap,3.0,7.5,10000,0.010080067276112183,0.05631083588087737,0.009355827744790601,0.008976261559619477,0.01118387299260489,17.900759451406543,1.459467902147196e-70,0.17900759451406545,0.5685,4.5243504966563075e-69,True
0.01,gini_gap,3.0,10.0,10000,0.012949243124385435,0.055135957897010486,0.013561972626035534,0.011868467380978496,0.014030018867792374,23.48602185995131,8.955759687989241e-119,0.23486021859951314,0.595,3.492746278315804e-117,True
0.01,gini_gap,3.0,15.0,10000,0.01611399982470919,0.053240123406004265,0.01638643124098338,0.015070386252951125,0.017157613396467257,30.26664626944103,1.2847019644101942e-192,0.3026664626944103,0.6108,5.395748250522816e-191,True
0.01,gini_gap,5.0,7.5,10000,0.004283249612243695,0.051583378088083276,0.004569692887703591,0.0032721115831425046,0.005294387641344886,8.303546163513486,1.1412986359761055e-16,0.08303546163513487,0.5321,2.05433754475699e-15,True
0.01,gini_gap,7.5,10.0,10000,0.0028691758482732553,0.047016653474659935,0.0027479795782473504,0.0019475548127504965,0.003790796883796014,6.102467181803197,1.0831820769469615e-09,0.06102467181803198,0.5243,1.2998184923363537e-08,True
0.01,gini_gap,10.0,15.0,10000,0.003164756700323752,0.044272343722432196,0.003308128723076731,0.0022969296592418456,0.004032583741405658,7.148383017997334,9.394607227929577e-13,0.07148383017997334,0.5306,1.2212989396308449e-11,True
0.05,gini_gap,1.0,2.0,10000,0.0011430051450703337,0.045624135664340024,0.0017945732700608286,0.0002486802612616184,0.002037330028879049,2.5052642169037522,0.012251767693592396,0.025052642169037524,0.5138,0.06125883846796198,False
0.05,gini_gap,2.0,3.0,10000,0.0007656447425903016,0.03824170590348361,0.0011671568548674571,1.6030340239852887e-05,0.0015152591449407505,2.002119739434939,0.045298814371321466,0.020021197394349387,0.5123,0.18119525748528587,False
0.05,gini_gap,3.0,5.0,10000,0.0013678150509342656,0.03485008167939525,0.0017410204135213103,0.0006846833094816848,0.0020509467923868463,3.9248546488858644,8.736380357968917e-05,0.03924854648885864,0.5189,0.0006115466250578242,True
0.05,gini_gap,3.0,7.5,10000,0.0037125603055619735,0.03426621627822116,0.003615984535257022,0.0030408735010810555,0.0043842471100428914,10.8344623620484,3.346116135008897e-27,0.10834462362048401,0.5448,7.361455497019573e-26,True
0.05,gini_gap,3.0,10.0,10000,0.006144596536058385,0.03413652591945963,0.005864513699854301,0.005475451923628705,0.006813741148488065,18.00006406790106,2.5816340634701783e-71,0.18000064067901062,0.572,8.26122900310457e-70,True
0.05,gini_gap,3.0,15.0,10000,0.011425151603818556,0.03429398736543856,0.011755794651910567,0.010752920430135081,0.01209738277750203,33.31531991912031,7.081159355952114e-231,0.3331531991912031,0.6333,3.11571011661893e-229,True
0.05,gini_gap,5.0,7.5,10000,0.002344745254627708,0.03267762565773805,0.0023431680389428555,0.00170419802356327,0.002985292485692146,7.175384402729618,7.722402184638178e-13,0.07175384402729618,0.5262,1.081136305849345e-11,True
0.05,gini_gap,7.5,10.0,10000,0.0024320362304964113,0.031450436952506815,0.002702426362407806,0.0018155443679389346,0.003048528093053888,7.7329171425154435,1.1523955788724414e-14,0.07732917142515444,0.532,1.8438329261959062e-13,True
0.05,gini_gap,10.0,15.0,10000,0.005280555067760172,0.030761079099760447,0.005097786943692784,0.004677576006543102,0.005883534128977241,17.166351839072167,4.047280232301378e-65,0.1716635183907217,0.5639,1.2141840696904134e-63,True
0.1,gini_gap,1.0,2.0,10000,-0.001613264865455304,0.03528409267587719,-0.001654731794900166,-0.0023049040959451797,-0.0009216256349654287,-4.572215814857132,4.883891452037363e-06,-0.04572215814857133,0.4803,4.395502306833627e-05,True
0.1,gini_gap,2.0,3.0,10000,-0.0003189619043297724,0.030978702518121792,-0.00014362066601436574,-0.0009262068225434969,0.0002882830138839521,-1.029616731505096,0.30321486240871315,-0.010296167315050958,0.4985,0.6064297248174263,False
0.1,gini_gap,3.0,5.0,10000,0.0013444751565967919,0.03020864170034616,0.0015930542405430126,0.0007523249802637583,0.0019366253329298256,4.450630948366624,8.654536750349922e-06,0.04450630948366624,0.5186,6.923629400279937e-05,True
0.1,gini_gap,3.0,7.5,10000,0.004648413132969404,0.030289436683793112,0.004606017605758184,0.004054679212349901,0.005242147053588908,15.346647682809559,1.478205522218086e-52,0.15346647682809558,0.5585,3.991154909988832e-51,True
0.1,gini_gap,3.0,10.0,10000,0.008666670792140207,0.030621159126819862,0.00856439267521314,0.008066434444000778,0.009266907140279636,28.302882840739407,1.3689893666732853e-169,0.2830288284073941,0.6089,5.61285640336047e-168,True
0.1,gini_gap,3.0,15.0,10000,0.018156533460545365,0.031165603318548753,0.017885548141777563,0.01754562491047995,0.01876744201061078,58.25824475452777,0.0,0.5825824475452778,0.7182,0.0,True
0.1,gini_gap,5.0,7.5,10000,0.0033039379763726132,0.030128801124730167,0.003357394442802919,0.002713352836011687,0.0038945231167335395,10.96604528900651,8.0141361707672695e-28,0.10966045289006511,0.544,1.843251319276472e-26,True
0.1,gini_gap,7.5,10.0,10000,0.004018257659170801,0.030501666217747178,0.004227587985321524,0.0034203636125449523,0.00461615170579665,13.173895584867447,2.633734585706565e-39,0.13173895584867448,0.5532,6.847709922837069e-38,True
0.1,gini_gap,10.0,15.0,10000,0.009489862668405156,0.03134615183077988,0.009515948682031095,0.00887541500412154,0.010104310332688772,30.274410459170717,1.0356154810119854e-192,0.30274410459170714,0.6157,4.453146568351537e-191,True
0.15,gini_gap,1.0,2.0,10000,-0.0023523220761151585,0.030885487496171347,-0.002549299567093377,-0.0029577397922907252,-0.0017469043599395917,-7.616269862687967,2.847535892132109e-14,-0.07616269862687966,0.4673,4.2713038381981634e-13,True
0.15,gini_gap,2.0,3.0,10000,-0.00042444270448549286,0.028466934822087477,-0.0007687187418596864,-0.0009824519205823196,0.00013356651161133392,-1.491002481082607,0.1359923883093292,-0.014910024810826069,0.489,0.4079771649279876,False
0.15,gini_gap,3.0,5.0,10000,0.0016237535224459371,0.028795655918507572,0.0018139609094171005,0.0010593007112632935,0.0021882063336285808,5.6388836116155865,1.758039161724795e-08,0.05638883611615586,0.5256,1.9338430778972747e-07,True
0.15,gini_gap,3.0,7.5,10000,0.005418593193458701,0.029982148313866214,0.005272451543079204,0.004830882743349466,0.006006303643567935,18.072731602600662,7.226592397100539e-72,0.1807273160260066,0.5678,2.384775491043178e-70,True
0.15,gini_gap,3.0,10.0,10000,0.011117039482372058,0.030660550353735,0.010753545397158781,0.010516030986904882,0.011718047977839234,36.25844726892779,1.4460561011491048e-270,0.36258447268927785,0.6358,6.507252455170972e-269,True
0.15,gini_gap,3.0,15.0,10000,0.023879854331725837,0.032353136647885174,0.024060418180875565,0.023245667738332847,0.024514040925118826,73.81001289495308,0.0,0.7381001289495308,0.7708,0.0,True
0.15,gini_gap,5.0,7.5,10000,0.003794839671012763,0.030013357083686687,0.0033908290783711825,0.0032065174662031467,0.00438316187582238,12.64383607748895,2.2952007928574783e-36,0.1264383607748895,0.5454,5.738001982143696e-35,True
0.15,gini_gap,7.5,10.0,10000,0.00569844628891336,0.03142822326552171,0.005384943445988499,0.005082389859328862,0.006314502718497857,18.13162087073765,2.5662372316952314e-72,0.1813162087073765,0.5679,8.725206587763787e-71,True
0.15,gini_gap,10.0,15.0,10000,0.012762814849353777,0.03354933317250348,0.01271799563381848,0.012105180396569826,0.013420449302137729,38.041933005732545,7.217934546064772e-296,0.3804193300573254,0.6469,3.320249891189795e-294,True
0.2,gini_gap,1.0,2.0,10000,-0.002971208605303343,0.028371379701664028,-0.0028874072720341815,-0.0035273447487221745,-0.0024150724618845114,-10.472555922717698,1.565080443585304e-25,-0.10472555922717698,0.458,3.2866689315291383e-24,True
0.2,gini_gap,2.0,3.0,10000,-0.00023246616701799844,0.026784106587846617,-0.00012193548874506188,-0.000757488562802659,0.0002925562287666621,-0.8679257837313148,0.38545579220296383,-0.008679257837313147,0.4973,0.6064297248174263,False
0.2,gini_gap,3.0,5.0,10000,0.001437468606169239,0.02824708920143166,0.0011002195170676243,0.0008837688067065238,0.0019911684056319544,5.088908793109852,3.6667570245622997e-07,0.05088908793109852,0.5176,3.6667570245622996e-06,True
0.2,gini_gap,3.0,7.5,10000,0.006584015757144584,0.030213690567366086,0.006417181661864557,0.005991766612856428,0.007176264901432741,21.791497938540495,6.760160540369354e-103,0.21791497938540494,0.583,2.5688610053403545e-101,True
0.2,gini_gap,3.0,10.0,10000,0.012992966915613696,0.03148570223918026,0.01279979616544169,0.012375783782461226,0.013610150048766166,41.266244649437965,0.0,0.41266244649437966,0.6563,0.0,True
0.2,gini_gap,3.0,15.0,10000,0.027848996563544018,0.03380585561630898,0.02746826222131238,0.027186333754575118,0.028511659372512918,82.37920932877915,0.0,0.8237920932877916,0.7909,0.0,True
0.2,gini_gap,5.0,7.5,10000,0.005146547150975346,0.031195243866027435,0.0047680333144926035,0.004535057586523713,0.00575803671542698,16.497858369301266,2.3761118367644925e-60,0.16497858369301263,0.5617,6.890724326617028e-59,True
0.2,gini_gap,7.5,10.0,10000,0.006408951158469111,0.03362564515968399,0.00631967144468526,0.005749820837148151,0.00706808147979007,19.05971209781642,1.3928213020258053e-79,0.1905971209781642,0.5749,4.874874557090319e-78,True
0.2,gini_gap,10.0,15.0,10000,0.014856029647930319,0.0367466601310821,0.015243474870643592,0.014135721151702202,0.015576338144158436,40.428244621242115,0.0,0.40428244621242115,0.6578,0.0,True
0.25,gini_gap,1.0,2.0,10000,-0.0031423411269411255,0.026660730691396007,-0.0036020637168948655,-0.003664945106844557,-0.002619737147037694,-11.786402868377598,7.450119962852357e-32,-0.11786402868377598,0.4489,1.7880287910845656e-30,True
0.25,gini_gap,2.0,3.0,10000,-0.0008084416329661866,0.02665478312733813,-0.0004220396772828261,-0.001330929028643801,-0.0002859542372885723,-3.0330077311228205,0.00242750400141117,-0.030330077311228207,0.4934,0.014565024008467018,True
0.25,gini_gap,3.0,5.0,10000,0.0022895544896342594,0.028647839118682693,0.0020779249435758373,0.0017279991852296277,0.002851109794038891,7.992066976322574,1.4734643293645133e-15,0.07992066976322573,0.5308,2.5048893599196727e-14,True
0.25,gini_gap,3.0,7.5,10000,0.007592451322581127,0.031075420608204878,0.006871102209971447,0.006983310535143443,0.00820159211001881,24.43233647037583,4.2073055232517156e-128,0.2443233647037583,0.5921,1.6829222093006862e-126,True
0.25,gini_gap,3.0,10.0,10000,0.014408286099072359,0.03310334198587854,0.014096599898324014,0.013759393971164269,0.01505717822698045,43.52517067678166,0.0,0.43525170676781666,0.6649,0.0,True
