synthetic_fraction,metric,baseline_activity,treatment_activity,n_worlds,mean_difference,std_difference,median_difference,ci95_low,ci95_high,t_statistic,p_raw,cohens_dz,fraction_difference_gt_0,family,p_holm,reject_holm_0_05
0.2,exposure_minus_production,1.0,2.0,10000,0.0031524837248349882,0.04564729186408581,0.00400512056200561,0.0022577049329062493,0.004047262516763727,6.9061790877352935,5.281690135581964e-12,0.06906179087735294,0.5367,adjacent,8.450704216931142e-11,True
0.2,exposure_minus_production,2.0,3.0,10000,0.00046482315208650426,0.05143647874410493,0.0007923874833050126,-0.0005434353542177713,0.0014730816583907798,0.9036838512974161,0.36618483489242853,0.009036838512974162,0.5048,adjacent,1.0,False
0.2,exposure_minus_production,3.0,5.0,10000,-0.003958123750721564,0.05288718511418569,-0.00313293948797011,-0.004994819021623598,-0.00292142847981953,-7.484088521965775,7.811764825706273e-14,-0.07484088521965776,0.4779,adjacent,1.406117668627129e-12,True
0.2,exposure_minus_production,5.0,7.5,10000,-0.006697955312271102,0.05043120784295467,-0.006661084506963871,-0.007686508485668213,-0.005709402138873992,-13.281370006304178,6.461814333832093e-40,-0.1328137000630418,0.4458,adjacent,1.6154535834580232e-38,True
0.2,exposure_minus_production,7.5,10.0,10000,-0.006063424203153119,0.04574900619928542,-0.005979374693945938,-0.006960196800765725,-0.005166651605540513,-13.253674138276311,9.29091491605476e-40,-0.1325367413827631,0.4437,adjacent,2.2298195798531426e-38,True
0.2,exposure_minus_production,10.0,15.0,10000,-0.007635182834603541,0.04024561888574453,-0.007616840557096605,-0.00842407796455414,-0.006846287704652941,-18.971463344319478,7.066176853088098e-79,-0.18971463344319478,0.4239,adjacent,2.2611765929881915e-77,True
0.25,exposure_minus_production,1.0,2.0,10000,0.003762820460929072,0.0483051781512443,0.003853799339769759,0.0028159417484138333,0.0047096991734443105,7.789683435485156,7.384924115699661e-15,0.07789683435485156,0.5319,adjacent,1.4031355819829357e-13,True
0.25,exposure_minus_production,2.0,3.0,10000,-0.0003726605305769231,0.05274050919594786,-0.000467401559482189,-0.001406480658276231,0.0006611595971223849,-0.7065925912705356,0.4798361588692465,-0.0070659259127053555,0.496,adjacent,1.0,False
0.25,exposure_minus_production,3.0,5.0,10000,-0.0038025706997144126,0.052028035601646226,-0.0036042160449783756,-0.004822424911015252,-0.0027827164884135737,-7.3086955056863525,2.9038857939759286e-13,-0.07308695505686351,0.4711,adjacent,4.936605849759079e-12,True
0.25,exposure_minus_production,5.0,7.5,10000,-0.005849903111128413,0.04854170491392986,-0.0061019790293749265,-0.006801418224234616,-0.00489838799802221,-12.051293050998058,3.242192669591583e-33,-0.1205129305099806,0.4491,adjacent,7.132823873101483e-32,True
0.25,exposure_minus_production,7.5,10.0,10000,-0.004181180931358955,0.04334850486162172,-0.004543588056096004,-0.005030898871417429,-0.0033314629913004804,-9.64550206450311,6.397756083681015e-22,-0.09645502064503111,0.4625,adjacent,1.279551216736203e-20,True
0.25,exposure_minus_production,10.0,15.0,10000,-0.005761940956630952,0.03674400826611048,-0.006118861079804083,-0.006482197470968385,-0.005041684442293518,-15.6813075887131,9.096022596856277e-55,-0.156813075887131,0.4357,adjacent,2.6378465530883202e-53,True
0.01,exposure_minus_production,1.0,2.0,10000,0.00039356558477888365,0.01253738706916784,-0.0007623339299312492,0.00014780756502395505,0.0006393236045338122,3.1391356317517465,0.0016994003680813133,0.031391356317517466,0.4658,vs_1x,0.013595202944650506,True
0.01,exposure_minus_production,1.0,3.0,10000,0.00039040722532496756,0.014725061239653685,-0.0011794955358279992,0.00010176638883625734,0.0006790480618136778,2.651311386560654,0.008030629522721669,0.026513113865606543,0.4558,vs_1x,0.05621440665905168,False
