synthetic_fraction,activity_multiplier,baseline_multiplier,n_worlds,paired_delta_effect_n,paired_delta_effect_mean,paired_delta_effect_std,paired_delta_effect_median,paired_delta_effect_min,paired_delta_effect_max,paired_delta_effect_ci95_low,paired_delta_effect_ci95_high,paired_delta_effect_ci95_half_width,paired_production_change_n,paired_production_change_mean,paired_production_change_std,paired_production_change_median,paired_production_change_min,paired_production_change_max,paired_production_change_ci95_low,paired_production_change_ci95_high,paired_production_change_ci95_half_width,paired_exposure_change_n,paired_exposure_change_mean,paired_exposure_change_std,paired_exposure_change_median,paired_exposure_change_min,paired_exposure_change_max,paired_exposure_change_ci95_low,paired_exposure_change_ci95_high,paired_exposure_change_ci95_half_width,fraction_paired_effect_gt_0
0.15,5.0,1.0,5000,5000,-0.0007804460452379142,0.04762893075767387,-0.0003204708643529258,-0.20641175492031785,0.1679287925571122,-0.0021009481114156103,0.000540056020939782,0.0013205020661776962,5000,0.3187893579814387,0.0086841860695929,0.31875064301606226,0.28654549677719066,0.3483660347301725,0.3185485907530851,0.3190301252097923,0.0002407672283535648,5000,0.3180089119362008,0.04804691379782673,0.3182540629260011,0.10879982124053836,0.4841738579832241,0.316676821378336,0.31934100249406555,0.0013320905578647613,0.4978
0.15,7.5,1.0,5000,5000,-0.007739516326795118,0.04681388232890769,-0.007823920828234535,-0.1760643026189826,0.13963002768608357,-0.009037421347078661,-0.0064416113065115755,0.0012979050202835424,5000,0.4196533334606665,0.00875426232367902,0.419712827702965,0.3855967240335254,0.449682727865949,0.4194106233829389,0.41989604353839416,0.0002427100777276463,5000,0.41191381713387143,0.04739824094870071,0.41223625217277515,0.24265795296402903,0.5549475209131756,0.4105997108940234,0.41322792337371944,0.0013141062398480004,0.435
0.15,10.0,1.0,5000,5000,-0.014735356354082359,0.04472247671940902,-0.014456987771064647,-0.19417877700396924,0.13809844228847068,-0.015975277594662562,-0.013495435113502156,0.0012399212405802024,5000,0.4882200236009967,0.008599260969099867,0.48817393145183596,0.45682882732730135,0.5179372351516591,0.48798161090315406,0.48845843629883934,0.00023841269784264572,5000,0.47348466724691446,0.045397012504928974,0.4737248183678011,0.28705103501096185,0.6237556008478007,0.47222604464385726,0.47474328984997166,0.001258622603057175,0.3734
0.15,15.0,1.0,5000,5000,-0.0256139713685574,0.04077818477074235,-0.025447601652153026,-0.19532341697068809,0.10769536640600846,-0.026744537946226485,-0.024483404790888313,0.0011305665776690844,5000,0.5759053660832673,0.00811317910206927,0.5759764549289195,0.5487617398943249,0.6073031838046621,0.5756804299027332,0.5761303022638014,0.00022493618053405587,5000,0.5502913947147099,0.04153997558465307,0.5501517051091385,0.38633209989077716,0.6983411975837852,0.549139707647293,0.5514430817821268,0.0011516870674168462,0.2696
0.2,2.0,1.0,5000,5000,0.003083105325866584,0.04601517695237196,0.004420505509626901,-0.15038746252273016,0.17066177926603476,0.001807344243798844,0.004358866407934325,0.0012757610820677402,5000,0.13337286015616143,0.008829798757433564,0.1332725586528709,0.10348419476919127,0.16693521120724833,0.13312805584672927,0.1336176644655936,0.00024480430943215497,5000,0.13645596548202799,0.046590115974193644,0.13816449870486502,-0.023170375462343462,0.2994146852415152,0.13516426433676412,0.13774766662729185,0.0012917011452638764,0.5394
0.2,3.0,1.0,5000,5000,0.003170875169282353,0.048672559682596664,0.004171934939035629,-0.18637198035448485,0.18552424685243368,0.0018214387111340513,0.004520311627430655,0.0013494364581483017,5000,0.22874094786075225,0.008972591890182477,0.22857264659360402,0.19707972741437993,0.2588276053215078,0.22849218464181212,0.22898971107969238,0.0002487632189401234,5000,0.2319118230300346,0.04921522188333484,0.23262473896308156,0.04037826601149108,0.398647512867096,0.2305473413767515,0.2332763046833177,0.0013644816532831063,0.5326
0.2,5.0,1.0,5000,5000,-0.0009052288213165692,0.048452837259940776,0.0010176853793647245,-0.2103651046211635,0.16793069446100617,-0.0022485735216091498,0.0004381158789760112,0.0013433447002925804,5000,0.3554523152636509,0.009099856507325596,0.3553361643093118,0.32106399685904985,0.3947354627766517,0.3552000236600249,0.3557046068672769,0.0002522916036259738,5000,0.35454708644233435,0.04895736658746455,0.3563816645857688,0.15330556835076858,0.5181262082195368,0.3531897537727793,0.3559044191118894,0.0013573326695550448,0.5066
0.2,7.5,1.0,5000,5000,-0.008275883322360397,0.04625655007422326,-0.006857357195082292,-0.20084272359681063,0.13156197841971073,-0.009558336423355584,-0.006993430221365209,0.0012824531009951868,5000,0.45217581507852617,0.008958743670945499,0.45199029945880387,0.42002484996360234,0.4854945882997671,0.4519274357985455,0.45242419435850684,0.000248379279980663,5000,0.4438999317561658,0.04685346440226083,0.44498925297829506,0.26412749843653105,0.5852999577391894,0.44260092933124157,0.4451989341810901,0.0012990024249242716,0.4458
0.2,10.0,1.0,5000,5000,-0.013843716011743857,0.043799758340365896,-0.012359507897956964,-0.18233770152048695,0.13339082201155938,-0.015058055079752816,-0.012629376943734897,0.0012143390680089596,5000,0.5143730929542979,0.008500454835461455,0.5144837425434663,0.48620359640359634,0.5424500240287726,0.5141374196356843,0.5146087662729115,0.00023567331861357218,5000,0.500529376942554,0.0443265699568107,0.5021246451109156,0.3243550173925205,0.6510097100894211,0.49930043213351877,0.5017583217515891,0.0012289448090351677,0.3874
0.2,15.0,1.0,5000,5000,-0.02121672157022734,0.04006492949423945,-0.019328093010714628,-0.162513851096795,0.12358872585935277,-0.022327513295693123,-0.020105929844761554,0.001110791725465784,5000,0.5893164837974155,0.008096746950568058,0.5893201369694991,0.5605121828277768,0.6177167444692511,0.5890920031948184,0.5895409644000127,0.00022448060259720295,5000,0.5680997622271882,0.04065876669731248,0.5697876657240926,0.43202105736188123,0.7143035361827108,0.5669725064904344,0.5692270179639419,0.0011272557367538137,0.3038
0.25,2.0,1.0,5000,5000,0.003052968063247444,0.04856549897645012,0.0027648609228507898,-0.1838218289317232,0.17474409157585483,0.0017064998406111302,0.004399436285883757,0.0013464682226363137,5000,0.15009282917422306,0.009303057726292223,0.15006063078560222,0.11360334366354385,0.1901293952272458,0.14983490385963136,0.15035075448881477,0.0002579253145916986,5000,0.15314579723747052,0.049371754769885624,0.15252280108289085,-0.039248745461046786,0.3188854024173786,0.1517769757429013,0.15451461873203973,0.0013688214945692088,0.5216
0.25,3.0,1.0,5000,5000,0.0029315385635482207,0.0495305374232763,0.002831028407392716,-0.1661000805584532,0.17621626247182762,0.0015583148533814724,0.004304762273714969,0.0013732237101667483,5000,0.2502140635537858,0.009402809608528082,0.25000394623339384,0.22159625810355688,0.28336432888702573,0.2499533726392845,0.2504747544682871,0.00026069091450129435,5000,0.25314560211733395,0.050195115953234726,0.25281379103442053,0.0872535142123183,0.4362598575704561,0.2517539531075019,0.25453725112716596,0.0013916490098320373,0.5296
0.25,5.0,1.0,5000,5000,-0.0007839829253821498,0.048634000842432995,0.0009453562283381067,-0.19077096019795498,0.16426586486777206,-0.002132350347814227,0.0005643844970499274,0.0013483674224320772,5000,0.37502065118708355,0.009205703796040944,0.3751347918456288,0.33772691979195674,0.4100147067825168,0.3747654249896881,0.375275877384479,0.00025522619739544244,5000,0.37423666826170143,0.049312920049125304,0.37570117478574705,0.16243606265461313,0.542257535551214,0.3728694779473643,0.37560385857603856,0.0013671903143371294,0.5078
0.25,7.5,1.0,5000,5000,-0.006656085453196448,0.046618909583283255,-0.005115120777033105,-0.16876202178770516,0.1476728054990008,-0.007948584895203305,-0.00536358601118959,0.0012924994420068579,5000,0.4642504611977329,0.008880145475420015,0.46441407614961316,0.43497693589767966,0.4974650935363558,0.4640042610361565,0.4644966613593093,0.00024620016157640375,5000,0.45759437574453643,0.047315184028551706,0.45884306715906276,0.30164110918743325,0.609463952295953,0.45628257224029306,0.4589061792487798,0.00131180350424335,0.4518
0.25,10.0,1.0,5000,5000,-0.010763627664912054,0.043792697508155676,-0.009461641924690387,-0.18147879983143775,0.1247804960457718,-0.011977770972836246,-0.009549484356987862,0.0012141433079241916,5000,0.5191715892404439,0.008573343217437806,0.5192240651850215,0.48615819209039546,0.5482399763919973,0.5189338951068032,0.5194092833740847,0.00023769413364067862,5000,0.5084079615755318,0.04461969538959359,0.5096131138659222,0.34412846631798455,0.6492761462129764,0.5071708899256568,0.5096450332254068,0.0012370716498750003,0.4078
0.25,15.0,1.0,5000,5000,-0.016399908054329494,0.039633607647643385,-0.015316927775460024,-0.1728680526677962,0.11936004617754523,-0.017498741472511087,-0.0153010746361479,0.0010988334181815942,5000,0.5833626252189847,0.00813013496887528,0.5833646752124969,0.5541711854919817,0.6087872190410811,0.5831372189406174,0.583588031497352,0.00022540627836734734,5000,0.5669627171646553,0.04054725298531504,0.5682445709329768,0.4115281484998926,0.7153720770010046,0.5658385531220621,0.5680868812072485,0.0011241640425932002,0.3522
